Executing org.apache.activemq.artemis.cli.commands.messages.Producer producer --url tcp://localhost:61616 --destination orders.queue --message-count 2000 --sleep 10 --user admin --password hapassword --verbose 
Home::/opt/amq, Instance::/home/jboss/amq-broker
Connection brokerURL = tcp://localhost:61616
Producer ActiveMQQueue[orders.queue], thread=0 Started to calculate elapsed time ...

Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 0
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 1
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 2
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 3
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 4
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 5
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 6
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 7
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 8
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 9
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 10
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 11
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 12
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 13
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 14
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 15
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 16
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 17
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 18
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 19
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 20
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 21
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 22
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 23
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 24
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 25
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 26
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 27
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 28
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 29
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 30
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 31
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 32
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 33
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 34
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 35
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 36
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 37
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 38
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 39
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 40
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 41
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 42
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 43
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 44
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 45
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 46
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 47
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 48
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 49
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 50
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 51
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 52
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 53
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 54
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 55
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 56
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 57
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 58
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 59
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 60
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 61
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 62
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 63
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 64
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 65
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 66
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 67
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 68
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 69
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 70
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 71
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 72
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 73
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 74
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 75
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 76
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 77
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 78
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 79
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 80
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 81
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 82
Producer ActiveMQQueue[orders.queue], thread=0 Sent: test message: 83
